iter	Passed	Remaining
0	74	3637
1	87	2093
2	93	1472
3	97	1118
4	103	930
5	106	782
6	109	672
7	111	586
8	113	518
9	115	462
10	117	417
11	119	378
12	120	344
13	122	315
14	123	289
15	125	266
16	126	245
17	127	226
18	128	210
19	129	194
20	130	180
21	131	167
22	132	155
23	133	144
24	134	134
25	135	125
26	136	116
27	137	108
28	138	100
29	139	93
30	140	86
31	142	79
32	142	73
33	143	67
34	144	62
35	145	56
36	146	51
37	147	46
38	148	41
39	149	37
40	150	33
41	151	28
42	153	24
43	154	21
44	155	17
45	157	13
46	158	10
47	159	6
48	160	3
49	161	0
